number,name,symbol,mass,group,period,radius,red,green,blue,valence,filledShell,covalentRadius,vdWRadius,covalent,paulingEN,seHams,scovalent,eHams
81,Thallium,Tl,204.3833,13,6,,0.0,1.0,1.0,0,8,1.55,1.96,0,1.62,PM3,,
82,Lead,Pb,207.2,14,6,,0.0,1.0,1.0,0,8,1.54,2.02,0,2.33,MNDO PM3,,
83,Bismuth,Bi,208.98037,15,6,,0.0,1.0,1.0,0,8,1.54,2.0,0,2.02,PM3,,
84,Polonium,Po,209,16,6,,0.0,1.0,1.0,0,8,1.68,2.0,0,2.00,,,
85,Astatssine,At,210,17,6,,0.0,1.0,1.0,0,8,1.21,2.0,0,2.20,,,
86,Radon,Rn,222,18,6,,0.0,1.0,1.0,0,8,1.5,2.0,0,0.0,,,
87,Francium,Fr,223,1,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,0.70,,,
88,Radium,Ra,226,2,7,,0.0,1.0,1.0,0,8,1.9,2.0,0,0.89,,,
89,Actinium,Ac,227,0,7,,0.0,1.0,1.0,0,8,1.88,2.0,0,1.10,,,
90,Thorium,Th,232.0381,0,7,,0.0,1.0,1.0,0,8,1.79,2.0,0,1.30,,,
91,Protactinium,Pa,231.03588,0,7,,0.0,1.0,1.0,0,8,1.61,2.0,0,1.50,,,
92,Uranium,U,238.0289,0,7,,0.0,1.0,1.0,0,8,1.58,2.0,0,1.38,,,
93,Neptunium,Np,237,0,7,,0.0,1.0,1.0,0,8,1.55,2.0,0,1.36,,,
94,Plutonium,Pu,244,0,7,,0.0,1.0,1.0,0,8,1.53,2.0,0,1.28,,,
95,Americium,Am,243,0,7,,0.0,1.0,1.0,0,8,1.51,2.0,0,1.30,,,
96,Curium,Cm,247,0,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,1.30,,,
97,Berkelium,Bk,247,0,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,1.30,,,
98,Californium,Cf,251,0,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,1.30,,,
99,Einsteinium,Es,252,0,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,1.30,,,
100,Fermium,Fm,257,0,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,1.30,,,
101,Mendelevium,Md,258,0,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,1.30,,,
102,Nobelium,No,259,0,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,1.30,,,
103,Lawrencium,Lr,262,3,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,1.30,,,
104,Rutherfordium,Rf,261,4,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,0.0,,,
105,Dubnium,Db,262,5,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,0.0,,,
106,Seaborgium,Sg,266,6,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,0.0,,,
107,Bohrium,Bh,264,7,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,0.0,,,
108,Hassium,Hs,269,8,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,0.0,,,
109,Meitnerium,Mt,268,9,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,0.0,,,
110,Darmstadtium,Ds,271,10,7,,0.0,1.0,1.0,0,8,1.5,2.0,0,0.0,,,
120,Unknown,Unk,0,0,0,,0.0,1.0,1.0,0,0,1.5,2.0,0,0.0,,,
